"i","j","x","alpha","lambda","dev.ratio","AIC"
1,1,-11.2734895540193,0.5,533.871892762387,0.0390135793411262,12761.9988867004
632,1,3.40705359967964,0.5,533.871892762387,0.0390135793411262,12761.9988867004
1,2,-10.5117170977743,0.5,174.97202734257,0.00552492188267658,3044.94457031676
632,2,-0.912367123235921,0.5,174.97202734257,0.00552492188267658,3044.94457031676
1,3,-11.3360265057221,1,91.1176196749125,0.158559942614261,9522.48166325309
10,3,-168.690934365878,1,91.1176196749125,0.158559942614261,9522.48166325309
450,3,-40.6185008298354,1,91.1176196749125,0.158559942614261,9522.48166325309
632,3,4.59285971495637,1,91.1176196749125,0.158559942614261,9522.48166325309
1,4,-10.9241018170349,0.5,3062.60082276861,0.00584222028236754,88354.4399849766
632,4,-1.17207614062211,0.5,3062.60082276861,0.00584222028236754,88354.4399849766
1,5,-11.3745444469879,0.5,125.823270805151,0.0568806334712682,3665.81456656443
632,5,2.9542933086068,0.5,125.823270805151,0.0568806334712682,3665.81456656443
1,6,-12.1355230404611,0.5,476.938814607112,0.177632212330907,10124.7053983018
632,6,6.36025084209557,0.5,476.938814607112,0.177632212330907,10124.7053983018
1,7,-12.0126579193906,0.5,505.092225276944,0.175274717418493,10569.2225908004
632,7,6.34819036257258,0.5,505.092225276944,0.175274717418493,10569.2225908004
1,8,-11.418977450544,0.5,369.901989764601,0.0119991694637774,5092.20352630156
632,8,1.39607409071263,0.5,369.901989764601,0.0119991694637774,5092.20352630156
1,9,-12.086421448802,0.5,180.551695658559,0.198875497132197,3118.9882254325
632,9,6.47959145640887,0.5,180.551695658559,0.198875497132197,3118.9882254325
1,10,-12.1259881092009,0.5,239.069454018376,0.199187369906089,4553.50345470481
632,10,7.24896857264176,0.5,239.069454018376,0.199187369906089,4553.50345470481
1,11,-11.4414929128932,0.5,0.890437412118589,0.99840845541075,218.177031142645
10,11,-42.2202429845725,0.5,0.890437412118589,0.99840845541075,218.177031142645
17,11,-89.0469208680846,0.5,0.890437412118589,0.99840845541075,218.177031142645
18,11,-13.1386315622823,0.5,0.890437412118589,0.99840845541075,218.177031142645
19,11,-145.232759694715,0.5,0.890437412118589,0.99840845541075,218.177031142645
21,11,-16.9964255648313,0.5,0.890437412118589,0.99840845541075,218.177031142645
24,11,30.8078747266433,0.5,0.890437412118589,0.99840845541075,218.177031142645
45,11,-6.02138623485599,0.5,0.890437412118589,0.99840845541075,218.177031142645
60,11,27.1263572477007,0.5,0.890437412118589,0.99840845541075,218.177031142645
87,11,486.765061480485,0.5,0.890437412118589,0.99840845541075,218.177031142645
93,11,-45.1263914592963,0.5,0.890437412118589,0.99840845541075,218.177031142645
124,11,-20.2835530253229,0.5,0.890437412118589,0.99840845541075,218.177031142645
138,11,0.536453547809358,0.5,0.890437412118589,0.99840845541075,218.177031142645
139,11,1.88016320346501,0.5,0.890437412118589,0.99840845541075,218.177031142645
154,11,-2600.10880187208,0.5,0.890437412118589,0.99840845541075,218.177031142645
169,11,-263.799132361299,0.5,0.890437412118589,0.99840845541075,218.177031142645
172,11,-264.554390360259,0.5,0.890437412118589,0.99840845541075,218.177031142645
176,11,63.0185044022333,0.5,0.890437412118589,0.99840845541075,218.177031142645
198,11,-62.3142558805481,0.5,0.890437412118589,0.99840845541075,218.177031142645
207,11,-117.379005783637,0.5,0.890437412118589,0.99840845541075,218.177031142645
213,11,-739.061533218008,0.5,0.890437412118589,0.99840845541075,218.177031142645
219,11,-170.939156471273,0.5,0.890437412118589,0.99840845541075,218.177031142645
220,11,-721.434287086826,0.5,0.890437412118589,0.99840845541075,218.177031142645
229,11,0.136823466761104,0.5,0.890437412118589,0.99840845541075,218.177031142645
244,11,283.237541886274,0.5,0.890437412118589,0.99840845541075,218.177031142645
252,11,486.873362729359,0.5,0.890437412118589,0.99840845541075,218.177031142645
325,11,-114.045230974769,0.5,0.890437412118589,0.99840845541075,218.177031142645
327,11,-0.869088673290565,0.5,0.890437412118589,0.99840845541075,218.177031142645
333,11,-83.3811614079314,0.5,0.890437412118589,0.99840845541075,218.177031142645
335,11,-72.5023475245215,0.5,0.890437412118589,0.99840845541075,218.177031142645
339,11,-208.988529211146,0.5,0.890437412118589,0.99840845541075,218.177031142645
342,11,-402.966505653805,0.5,0.890437412118589,0.99840845541075,218.177031142645
352,11,272.575240025415,0.5,0.890437412118589,0.99840845541075,218.177031142645
375,11,-77.6164070819616,0.5,0.890437412118589,0.99840845541075,218.177031142645
388,11,-309.543866196238,0.5,0.890437412118589,0.99840845541075,218.177031142645
405,11,-0.224465892162028,0.5,0.890437412118589,0.99840845541075,218.177031142645
411,11,-1939.88499759981,0.5,0.890437412118589,0.99840845541075,218.177031142645
428,11,-41.7793793038122,0.5,0.890437412118589,0.99840845541075,218.177031142645
430,11,-129.324655395387,0.5,0.890437412118589,0.99840845541075,218.177031142645
450,11,-978.307194629792,0.5,0.890437412118589,0.99840845541075,218.177031142645
503,11,-532.42714250292,0.5,0.890437412118589,0.99840845541075,218.177031142645
521,11,24.3800011850321,0.5,0.890437412118589,0.99840845541075,218.177031142645
551,11,11.3214218038618,0.5,0.890437412118589,0.99840845541075,218.177031142645
570,11,-266.586509666152,0.5,0.890437412118589,0.99840845541075,218.177031142645
574,11,46.1452849702606,0.5,0.890437412118589,0.99840845541075,218.177031142645
588,11,241.10029125898,0.5,0.890437412118589,0.99840845541075,218.177031142645
616,11,95.0635880429791,0.5,0.890437412118589,0.99840845541075,218.177031142645
632,11,2.42091443567341,0.5,0.890437412118589,0.99840845541075,218.177031142645
1,12,-12.2958868338118,0.5,101.68898106199,0.161940300495883,2741.35302057608
632,12,7.18654867254828,0.5,101.68898106199,0.161940300495883,2741.35302057608
1,13,-12.5023459056138,0.5,130.979761150375,0.241308494318845,3097.83254513676
632,13,9.4465168137624,0.5,130.979761150375,0.241308494318845,3097.83254513676
1,14,-12.6430545330535,0.5,64.2817187695535,0.24386981987987,1579.73882554338
632,14,9.60619661735005,0.5,64.2817187695535,0.24386981987987,1579.73882554338
1,15,-11.2750955841683,0.5,23.2005953551641,0.204673460900583,869.17234151195
198,15,-97.3447911503177,0.5,23.2005953551641,0.204673460900583,869.17234151195
