"i","j","x","alpha","lambda","dev.ratio","AIC"
1,1,-10.9222588078274,0.5,574.375917568483,7.9731815418876e-16,13271.7775292632
1,2,-10.5665168706179,0.5,205.334933022584,-3.56436349158001e-15,3059.15677838886
1,3,-11.3599213025476,0.5,242.13713537701,-1.40852398742867e-15,11282.5947365065
1,4,-11.0398956790961,0.5,3026.45279755176,3.77540990485213e-15,88870.3589442558
1,5,-11.0692238057294,0.5,140.160207893151,-9.8157780221783e-15,3875.94635530433
1,6,-11.1330219306177,1,254.156825361953,0.24963032748757,9252.21140259407
29,6,-557.765340687405,1,254.156825361953,0.24963032748757,9252.21140259407
325,6,-185.863255189255,1,254.156825361953,0.24963032748757,9252.21140259407
1,7,-11.1632281471366,0.5,584.413504407039,0.181088920627627,10509.8510048667
220,7,-54.7010993424326,0.5,584.413504407039,0.181088920627627,10509.8510048667
309,7,-9.32393651696409,0.5,584.413504407039,0.181088920627627,10509.8510048667
325,7,-86.053154467015,0.5,584.413504407039,0.181088920627627,10509.8510048667
327,7,-11.815113206603,0.5,584.413504407039,0.181088920627627,10509.8510048667
339,7,-41.6805100039943,0.5,584.413504407039,0.181088920627627,10509.8510048667
342,7,-57.6506041269306,0.5,584.413504407039,0.181088920627627,10509.8510048667
346,7,-2.18775901464711,0.5,584.413504407039,0.181088920627627,10509.8510048667
355,7,-58.6189660792759,0.5,584.413504407039,0.181088920627627,10509.8510048667
1,8,-11.2249158661732,0.8,207.156964555677,0.0958866679147577,4677.83121570101
198,8,-115.89394601995,0.8,207.156964555677,0.0958866679147577,4677.83121570101
335,8,-0.0385251381383872,0.8,207.156964555677,0.0958866679147577,4677.83121570101
339,8,-1.07428595825624,0.8,207.156964555677,0.0958866679147577,4677.83121570101
1,9,-11.1852411763652,0.6,140.124157156329,0.272563008219284,2857.96593424351
19,9,-12.5224113477578,0.6,140.124157156329,0.272563008219284,2857.96593424351
29,9,-170.366589260501,0.6,140.124157156329,0.272563008219284,2857.96593424351
157,9,-206.792403078683,0.6,140.124157156329,0.272563008219284,2857.96593424351
220,9,-273.307141742509,0.6,140.124157156329,0.272563008219284,2857.96593424351
325,9,-54.0091130099853,0.6,140.124157156329,0.272563008219284,2857.96593424351
342,9,-84.0271540496394,0.6,140.124157156329,0.272563008219284,2857.96593424351
411,9,-109.177266847446,0.6,140.124157156329,0.272563008219284,2857.96593424351
1,10,-11.1562672009049,1,128.090921512929,0.244966476933553,4301.82082497089
339,10,-411.565574074612,1,128.090921512929,0.244966476933553,4301.82082497089
1,11,-11.8789844390283,0.5,120.156183882986,-5.55317628773876e-16,2474.75584035328
1,12,-11.3402182153455,1,57.2728705142941,0.1577011037733,2756.55884616421
342,12,-326.034698556241,1,57.2728705142941,0.1577011037733,2756.55884616421
411,12,-292.207505974771,1,57.2728705142941,0.1577011037733,2756.55884616421
1,13,-11.7988207308579,0.9,66.1390962103911,0.297383645992812,2882.64169717173
67,13,13.2194161429926,0.9,66.1390962103911,0.297383645992812,2882.64169717173
134,13,90.8555655476046,0.9,66.1390962103911,0.297383645992812,2882.64169717173
411,13,-780.993080751421,0.9,66.1390962103911,0.297383645992812,2882.64169717173
1,14,-11.7925486973209,0.5,100.85181132645,1.35368877797935e-15,2048.7999357811
1,15,-11.2768433269322,0.6,32.9310723026451,0.11021279196817,943.222144247576
198,15,-47.012746849417,0.6,32.9310723026451,0.11021279196817,943.222144247576
335,15,-79.7175369180005,0.6,32.9310723026451,0.11021279196817,943.222144247576
339,15,-78.8406489324507,0.6,32.9310723026451,0.11021279196817,943.222144247576
1,16,-11.17696291933,0.5,22.1734446659653,-1.64946589310339e-15,701.101119186106
1,17,-10.7763486639825,0.6,15.4457993084127,0.46385448307308,509.035191401712
27,17,-136.469540056834,0.6,15.4457993084127,0.46385448307308,509.035191401712
171,17,-13.3341843025704,0.6,15.4457993084127,0.46385448307308,509.035191401712
178,17,-154.724097306814,0.6,15.4457993084127,0.46385448307308,509.035191401712
193,17,-9.3555503899603,0.6,15.4457993084127,0.46385448307308,509.035191401712
320,17,-29.8325369951805,0.6,15.4457993084127,0.46385448307308,509.035191401712
323,17,-22.8438329658708,0.6,15.4457993084127,0.46385448307308,509.035191401712
353,17,-154.14919972822,0.6,15.4457993084127,0.46385448307308,509.035191401712
366,17,-764.080795747255,0.6,15.4457993084127,0.46385448307308,509.035191401712
422,17,-266.094911736214,0.6,15.4457993084127,0.46385448307308,509.035191401712
1,18,-11.0769572744626,0.8,153.384248605269,0.0160610026254413,54974.9080089344
296,18,823.349061405751,0.8,153.384248605269,0.0160610026254413,54974.9080089344
1,19,-11.0093597122281,1,55.5442920105258,0.257532694722391,2490.00853853177
29,19,-560.430192370827,1,55.5442920105258,0.257532694722391,2490.00853853177
330,19,-1.31759106021597,1,55.5442920105258,0.257532694722391,2490.00853853177
339,19,-339.601669943946,1,55.5442920105258,0.257532694722391,2490.00853853177
1,20,-11.4166859567128,0.5,165.89774227007,0,2339.89439369966
1,21,-11.450227213569,0.5,124.25699110411,3.48529943470434e-16,1969.01823720398
1,22,-11.0085832796744,0.9,26.7512070880107,0.0468711554970889,4953.56675795238
29,22,-500.9972919442,0.9,26.7512070880107,0.0468711554970889,4953.56675795238
327,22,-61.6803421336023,0.9,26.7512070880107,0.0468711554970889,4953.56675795238
339,22,-146.864002802733,0.9,26.7512070880107,0.0468711554970889,4953.56675795238
1,23,-11.2502541972417,0.5,20.5929880825869,-1.64899160750376e-16,3055.54314585142
1,24,-11.2619356942249,0.5,10.5642080608128,1.31276280093718e-15,1067.20563334611
1,25,-11.0258876526084,1,11.9510337473209,0.0881744896539334,861.584032134568
333,25,-19.9512782917261,1,11.9510337473209,0.0881744896539334,861.584032134568
339,25,-237.611776738793,1,11.9510337473209,0.0881744896539334,861.584032134568
