#OTU ID,Animal,Time Point,Oxalate Concentration,Oxalate Consumed,Oxalate Excreted,Oxalate Degraded
NA58-1,NA58,1,0.05%,0.004813333,0.008543904,-0.003730571
NA58-2,NA58,2,0.50%,0.050433333,0.011931246,0.038502087
NA58-3,NA58,3,1.00%,0.0924,0.013643179,0.078756821
NA58-4,NA58,4,1.50%,0.12425,0.013229149,0.111020851
NA58-6,NA58,6,0.05%,0.004565,0.008574774,-0.004009774
NA66-1,NA66,1,0.05%,0.003073333,0.004968623,-0.00189529
NA66-2,NA66,2,0.50%,0.039816667,0.009970865,0.029845801
NA66-3,NA66,3,1.00%,0.091966667,0.00658963,0.085377037
NA66-4,NA66,4,1.50%,0.13995,0.013650841,0.126299159
NA66-5,NA66,5,3%,0.2711,0.01059667,0.26050333
NA66-6,NA66,6,0.05%,0.004223333,0.004030421,0.000192912
NA67-1,NA67,1,0.05%,0.004488333,0.005162009,-0.000673675
NA67-2,NA67,2,0.50%,0.047916667,0.013879429,0.034037237
NA67-3,NA67,3,1.00%,0.056233333,0.006797985,0.049435349
NA67-4,NA67,4,1.50%,0.1356,0.011518449,0.124081551
NA67-6,NA67,6,0.05%,0.004488333,0.003417156,0.001071177
NA68-1,NA68,1,0.05%,0.00402,0.007013019,-0.002993019
NA68-2,NA68,2,0.50%,0.0465,0.011046837,0.035453163
NA68-3,NA68,3,1.00%,0.0799,0.011882114,0.068017886
NA68-4,NA68,4,1.50%,0.12915,0.014380834,0.114769166
NA68-5,NA68,5,3%,0.2247,0.009069299,0.215630701
NA68-6,NA68,6,0.05%,0.00455,0.005461159,-0.000911159
NA70-2,NA70,2,0.50%,0.05115,0.019196895,0.031953105
NA70-3,NA70,3,1.00%,0.0509,0.011315683,0.039584317
NA70-4,NA70,4,1.50%,0.12455,0.019181704,0.105368296
NA70-6,NA70,6,0.05%,0.00477,0.008142778,-0.003372778
NA71-1,NA71,1,0.05%,0.002253333,0.002577804,-0.00032447
NA71-2,NA71,2,0.50%,0.047633333,0.007643412,0.039989922
NA71-3,NA71,3,1.00%,0.09,0.012502479,0.077497521
NA71-4,NA71,4,1.50%,0.13565,0.011440953,0.124209047
NA71-5,NA71,5,3%,0.2107,0.014406057,0.196293943
NA71-6,NA71,6,0.05%,0.004331667,0.007037318,-0.002705652
